customerID,value_segment,MonthlyCharges,Contract,tenure,Churn,churn_probability
7136-RVDTZ,Low-Value,45.25,One year,70,Yes,0.9998823102078699
0310-MVLET,High-Value,99.15,Month-to-month,61,Yes,0.9998725347571262
9614-RMGHA,High-Value,91.85,Month-to-month,65,Yes,0.9998654164044334
2003-CKLOR,High-Value,99.5,Month-to-month,66,Yes,0.9997702499873952
5287-QWLKY,High-Value,105.1,Month-to-month,71,Yes,0.9997109174458725
0324-BRPCJ,High-Value,100.2,Month-to-month,68,Yes,0.9996538227800341
3791-LGQCY,High-Value,100.65,Month-to-month,56,Yes,0.999373468757112
4550-VBOFE,High-Value,102.95,Month-to-month,70,Yes,0.9993624824390005
7752-XUSCI,High-Value,105.9,Month-to-month,60,Yes,0.9993167388575508
0979-PHULV,High-Value,99.45,Month-to-month,69,Yes,0.9992585908250579
1891-FZYSA,High-Value,89.95,Month-to-month,69,Yes,0.9991989382407463
7067-KSAZT,High-Value,106.25,One year,65,Yes,0.9991949444028039
9518-RWHZL,High-Value,100.05,One year,64,Yes,0.9990015305988514
3351-NQLDI,High-Value,94.35,One year,67,Yes,0.998955499151003
6818-WOBHJ,High-Value,89.6,Month-to-month,68,Yes,0.9989483001924442
0639-TSIQW,High-Value,102.95,Month-to-month,67,Yes,0.9988881067588697
9898-KZQDZ,High-Value,94.55,Month-to-month,40,Yes,0.9988715256734148
1723-HKXJQ,High-Value,101.75,Month-to-month,42,Yes,0.9988021013525403
5073-WXOYN,Low-Value,50.8,Month-to-month,60,Yes,0.9983748883473452
2674-MLXMN,High-Value,99.65,Month-to-month,71,No,0.998236052186969
6270-OMFIW,High-Value,94.4,One year,60,Yes,0.9981059879839191
6646-VRFOL,High-Value,103.85,Month-to-month,53,Yes,0.9980677755363933
1323-OOEPC,High-Value,98.4,Month-to-month,53,Yes,0.9979420992444754
3318-OSATS,High-Value,95.45,Month-to-month,35,Yes,0.9979108831070735
3207-OYBWH,High-Value,95.25,Month-to-month,57,Yes,0.9978278405833364
7207-RMRDB,High-Value,105.5,Month-to-month,65,Yes,0.9978200649995248
6583-QGCSI,High-Value,88.05,Month-to-month,50,Yes,0.9977986946288501
3990-QYKBE,High-Value,92.5,Month-to-month,37,Yes,0.9977462493001004
0596-BQCEQ,High-Value,100.15,Month-to-month,62,Yes,0.9976581504235696
6845-RGTYS,High-Value,98.75,Month-to-month,47,Yes,0.9975921055080461
7549-MYGPK,High-Value,100.55,Month-to-month,63,Yes,0.9975812210227564
8651-ENBZX,High-Value,106.0,One year,60,Yes,0.9975760191789708
7547-EKNFS,High-Value,95.25,Month-to-month,42,Yes,0.997545359194838
8708-XPXHZ,High-Value,94.2,Month-to-month,42,Yes,0.9975231514249733
4446-BZKHU,High-Value,105.55,Month-to-month,61,Yes,0.9974698470707345
4143-HHPMK,High-Value,85.35,Month-to-month,52,Yes,0.9973135190199783
3027-ZTDHO,High-Value,89.9,Month-to-month,1,Yes,0.9971095787235491
2988-GBIVW,High-Value,90.85,Month-to-month,70,No,0.9970160499113072
3419-SNJJD,High-Value,105.25,Month-to-month,65,Yes,0.9970063293036631
1265-XTECC,High-Value,96.55,One year,68,Yes,0.9969665437449955
3640-PHQXK,High-Value,89.9,Month-to-month,31,Yes,0.9967863636141256
8374-XGEJJ,High-Value,101.0,Month-to-month,43,Yes,0.9966948367822576
3838-OZURD,High-Value,105.0,Month-to-month,66,Yes,0.9966727574806721
3571-RFHAR,High-Value,109.15,Month-to-month,65,Yes,0.9966523707338854
6481-OGDOO,High-Value,90.6,One year,67,Yes,0.9964844047041962
