Feature,Coefficient,Abs_Importance,Direction
numTechTickets,1.4800828793041996,1.4800828793041996,Increases Churn
addon_count,-0.7892566915042284,0.7892566915042284,Decreases Churn
is_two_year,-0.7595411180264949,0.7595411180264949,Decreases Churn
charge_tenure_ratio,0.5365820027683519,0.5365820027683519,Increases Churn
is_month_to_month,0.48237256254115596,0.48237256254115596,Increases Churn
has_contract_commitment,-0.48237256254115596,0.48237256254115596,Decreases Churn
is_new_mtm_customer,0.36317028855856304,0.36317028855856304,Increases Churn
avg_monthly_charge,0.3514634273847955,0.3514634273847955,Increases Churn
has_phone,-0.22321828184728584,0.22321828184728584,Decreases Churn
is_one_year,0.20934401320768722,0.20934401320768722,Increases Churn
is_fiber,0.18942847093562126,0.18942847093562126,Increases Churn
is_electronic_check,0.18172406681382428,0.18172406681382428,Increases Churn
has_internet,0.17993767415239054,0.17993767415239054,Increases Churn
has_streaming,0.12036516705110648,0.12036516705110648,Increases Churn
has_security_services,-0.0963172070295712,0.0963172070295712,Decreases Churn
has_any_addon,0.0813380191900111,0.0813380191900111,Increases Churn
no_addons,-0.0813380191900111,0.0813380191900111,Decreases Churn
is_low_charge,0.07055948807619193,0.07055948807619193,Increases Churn
is_high_charge,-0.062199044330904084,0.062199044330904084,Decreases Churn
SeniorCitizen,0.05433469334585195,0.05433469334585195,Increases Churn
is_dsl,-0.04224244614315097,0.04224244614315097,Decreases Churn
numAdminTickets,-0.03303195774635294,0.03303195774635294,Decreases Churn
has_multiple_addons,-0.022040125007656605,0.022040125007656605,Decreases Churn
has_auto_pay,-0.021968617976377395,0.021968617976377395,Decreases Churn
has_both_core,0.015610698004463068,0.015610698004463068,Increases Churn
