Threshold,Customers_Contacted,TP,FP,FN,TN,Precision,Recall,Retention_Cost,Revenue_Saved,Opportunity_Cost,Net_ROI
0.1,871,368,503,6,532,0.4225028702640643,0.983957219251337,43550,142993.81695300297,2331.4209285815705,99443.81695300297
0.15000000000000002,826,368,458,6,577,0.44552058111380144,0.983957219251337,41300,142993.81695300297,2331.4209285815705,101693.81695300297
0.20000000000000004,779,366,413,8,622,0.46983311938382544,0.9786096256684492,38950,142216.67664347577,3108.5612381087603,103266.67664347577
0.25000000000000006,731,363,368,11,667,0.49658002735978113,0.9705882352941176,36550,141050.966179185,4274.271702399546,104500.966179185
0.30000000000000004,697,360,337,14,698,0.5164992826398852,0.9625668449197861,34850,139885.2557148942,5439.982166690331,105035.25571489421
0.3500000000000001,647,354,293,20,742,0.5471406491499228,0.946524064171123,32350,137553.83478631265,7771.4030952719,105203.83478631265
0.40000000000000013,591,343,248,31,787,0.5803722504230119,0.9171122994652406,29550,133279.5630839131,12045.674797671447,103729.56308391309
0.45000000000000007,543,334,209,40,826,0.6151012891344383,0.893048128342246,27150,129782.43169104075,15542.8061905438,102632.43169104075
0.5000000000000001,487,315,172,59,863,0.6468172484599589,0.8422459893048129,24350,122399.59875053244,22925.639131052107,98049.59875053244
0.5500000000000002,442,302,140,72,895,0.6832579185520362,0.8074866310160428,22100,117348.1867386057,27977.051142978842,95248.1867386057
0.6000000000000002,402,287,115,87,920,0.7139303482587065,0.767379679144385,20100,111519.63441715177,33805.60346443277,91419.63441715177
0.6500000000000001,373,272,101,102,934,0.7292225201072386,0.7272727272727273,18650,105691.08209569786,39634.155785886695,87041.08209569786
0.7000000000000002,332,245,87,129,948,0.7379518072289156,0.6550802139037433,16600,95199.68791708078,50125.54996450376,78599.68791708078
0.7500000000000002,306,230,76,144,959,0.7516339869281046,0.6149732620320856,15300,89371.13559562685,55954.102285957684,74071.13559562685
0.8000000000000002,254,200,54,174,981,0.7874015748031497,0.5347593582887701,12700,77714.03095271901,67611.20692886553,65014.03095271901
0.8500000000000002,190,166,24,208,1011,0.8736842105263158,0.44385026737967914,9500,64502.64569075678,80822.59219082777,55002.64569075678
0.9000000000000002,143,132,11,242,1024,0.9230769230769231,0.35294117647058826,7150,51291.26042879454,94033.97745279,44141.26042879454
