Threshold,Customers_Contacted,TP,FP,FN,TN,Precision,Recall,Retention_Cost,Revenue_Saved,Opportunity_Cost,Net_ROI
0.1,832,370,462,4,573,0.44471153846153844,0.9893048128342246,41600,143770.95726253017,1554.2806190543802,102170.95726253017
0.15000000000000002,746,364,382,10,653,0.4879356568364611,0.9732620320855615,37300,141439.5363339486,3885.70154763595,104139.5363339486
0.20000000000000004,678,361,317,13,718,0.532448377581121,0.9652406417112299,33900,140273.8258696578,5051.412011926735,106373.8258696578
0.25000000000000006,634,355,279,19,756,0.5599369085173501,0.9491978609625669,31700,137942.40494107624,7382.832940508306,106242.40494107624
0.30000000000000004,595,347,248,27,787,0.5831932773109244,0.9278074866310161,29750,134833.84370296748,10491.394178617065,105083.84370296748
0.3500000000000001,560,339,221,35,814,0.6053571428571428,0.9064171122994652,28000,131725.28246485873,13599.955416725827,103725.28246485873
0.40000000000000013,523,328,195,46,840,0.627151051625239,0.8770053475935828,26150,127451.01076245918,17874.22711912537,101301.01076245918
0.45000000000000007,500,320,180,54,855,0.64,0.8556149732620321,25000,124342.4495243504,20982.78835723413,99342.4495243504
0.5000000000000001,471,312,159,62,876,0.6624203821656051,0.8342245989304813,23550,121233.88828624165,24091.349595342894,97683.88828624165
0.5500000000000002,433,293,140,81,895,0.6766743648960739,0.7834224598930482,21650,113851.05534573334,31474.1825358512,92201.05534573334
0.6000000000000002,398,279,119,95,916,0.7010050251256281,0.7459893048128342,19900,108411.07317904301,36914.16470254153,88511.07317904301
0.6500000000000001,350,255,95,119,940,0.7285714285714285,0.6818181818181818,17500,99085.38946471673,46239.84841686781,81585.38946471673
0.7000000000000002,297,233,64,141,971,0.7845117845117845,0.6229946524064172,14850,90536.84605991765,54788.391821666904,75686.84605991765
0.7500000000000002,249,197,52,177,983,0.7911646586345381,0.5267379679144385,12450,76548.32048842822,68776.91739315633,64098.32048842822
0.8000000000000002,199,164,35,210,1000,0.8241206030150754,0.4385026737967914,9950,63725.50538122959,81599.73250035496,53775.50538122959
0.8500000000000002,137,125,12,249,1023,0.9124087591240876,0.3342245989304813,6850,48571.26934544938,96753.96853613516,41721.26934544938
0.9000000000000002,79,75,4,299,1031,0.9493670886075949,0.20053475935828877,3950,29142.76160726963,116182.47627431492,25192.76160726963
