customerID,value_segment,MonthlyCharges,Contract,tenure,Churn,churn_probability
3791-LGQCY,High-Value,100.65,Month-to-month,56,Yes,0.99919885
1723-HKXJQ,High-Value,101.75,Month-to-month,42,Yes,0.9987772
5130-IEKQT,High-Value,105.95,Month-to-month,25,Yes,0.9985084
9158-VCTQB,High-Value,113.6,Month-to-month,41,Yes,0.99832624
8651-ENBZX,High-Value,106.0,One year,60,Yes,0.99820256
1502-XFCVR,High-Value,106.45,One year,58,Yes,0.9981981
0354-WYROK,High-Value,98.9,Month-to-month,31,Yes,0.99808335
7752-XUSCI,High-Value,105.9,Month-to-month,60,Yes,0.99807763
5469-CTCWN,High-Value,106.0,One year,61,Yes,0.99804074
5287-QWLKY,High-Value,105.1,Month-to-month,71,Yes,0.9979243
8443-WVPSS,High-Value,99.85,Month-to-month,10,Yes,0.9977946
6845-RGTYS,High-Value,98.75,Month-to-month,47,Yes,0.99771047
9898-KZQDZ,High-Value,94.55,Month-to-month,40,Yes,0.99769586
3318-OSATS,High-Value,95.45,Month-to-month,35,Yes,0.99768376
1455-UGQVH,High-Value,98.5,Month-to-month,10,Yes,0.99757993
8199-ZLLSA,High-Value,118.35,One year,67,Yes,0.99755067
6402-ZFPPI,High-Value,102.8,Month-to-month,25,Yes,0.9975248
9497-QCMMS,High-Value,93.55,Month-to-month,1,Yes,0.9974981
2408-TZMJL,High-Value,110.15,One year,59,Yes,0.99739057
2302-ANTDP,High-Value,117.45,Month-to-month,48,Yes,0.99729186
3988-RQIXO,High-Value,91.3,Month-to-month,1,Yes,0.9972677
4289-DTDKW,High-Value,101.3,Month-to-month,40,Yes,0.9971649
1450-GALXR,High-Value,98.5,Month-to-month,10,Yes,0.997115
5748-RNCJT,High-Value,106.5,Two year,69,Yes,0.9970673
2720-WGKHP,High-Value,94.0,Month-to-month,2,Yes,0.9969585
3640-PHQXK,High-Value,89.9,Month-to-month,31,Yes,0.99690044
9134-CEQMF,High-Value,89.5,Month-to-month,7,Yes,0.9968964
1323-OOEPC,High-Value,98.4,Month-to-month,53,Yes,0.99687105
2659-VXMWZ,High-Value,111.3,One year,67,Yes,0.99684465
7547-EKNFS,High-Value,95.25,Month-to-month,42,Yes,0.99683726
7055-VKGDA,High-Value,105.4,One year,54,Yes,0.9968177
4391-RESHN,High-Value,104.05,Month-to-month,23,Yes,0.99680746
3424-NMNBO,High-Value,108.85,One year,58,Yes,0.996738
9565-DJPIB,High-Value,89.6,Month-to-month,4,Yes,0.9966594
6664-FPDAC,High-Value,111.95,One year,56,Yes,0.9964405
1984-FCOWB,High-Value,109.5,One year,70,Yes,0.9964324
