Feature,Importance
is_month_to_month,0.6212268
has_internet,0.06760297
numTechTickets,0.0612029
is_fiber,0.05562344
addon_count,0.024957154
is_two_year,0.022898016
charge_tenure_ratio,0.021849543
is_electronic_check,0.015906056
is_low_charge,0.012406985
has_streaming,0.011905768
has_both_core,0.011203767
has_phone,0.009841983
is_one_year,0.009495026
is_high_charge,0.0077847573
avg_monthly_charge,0.007759929
has_security_services,0.007195292
is_dsl,0.006739582
numAdminTickets,0.006703417
has_auto_pay,0.006700927
SeniorCitizen,0.0066724466
is_new_mtm_customer,0.0043232273
has_any_addon,0.0
has_multiple_addons,0.0
no_addons,0.0
has_contract_commitment,0.0
