Threshold,Customers_Contacted,TP,FP,FN,TN,Precision,Recall,Retention_Cost,Revenue_Saved,Opportunity_Cost,Net_ROI
0.1,755,366,389,8,646,0.4847682119205298,0.9786096256684492,37750,142216.67664347577,3108.5612381087603,101358.11540536702
0.15000000000000002,698,363,335,11,700,0.5200573065902578,0.9705882352941176,34900,141050.966179185,4274.271702399546,101876.69447678544
0.20000000000000004,662,362,300,12,735,0.5468277945619335,0.9679144385026738,33100,140662.3960244214,4662.841857163141,102899.55416725826
0.25000000000000006,631,358,273,16,762,0.5673534072900158,0.9572192513368984,31550,139108.11540536702,6217.122476217521,101340.99292914949
0.30000000000000004,608,354,254,20,781,0.5822368421052632,0.946524064171123,30400,137553.83478631265,7771.4030952719,99382.43169104075
0.3500000000000001,583,347,236,27,799,0.5951972555746141,0.9278074866310161,29150,134833.84370296748,10491.394178617065,95192.44952435042
0.40000000000000013,559,343,216,31,819,0.6135957066189625,0.9171122994652406,27950,133279.5630839131,12045.674797671447,93283.88828624165
0.45000000000000007,528,335,193,39,842,0.634469696969697,0.8957219251336899,26400,130171.00184580433,15154.236035780206,88616.76581002412
0.5000000000000001,511,330,181,44,854,0.6457925636007827,0.8823529411764706,25550,128228.15107198636,17097.086809598182,85581.06426238817
0.5500000000000002,480,320,160,54,875,0.6666666666666666,0.8556149732620321,24000,124342.4495243504,20982.78835723413,79359.66116711628
0.6000000000000002,451,307,144,67,891,0.6807095343680709,0.820855614973262,22550,119291.03751242367,26034.200369160866,70706.8371432628
0.6500000000000001,412,287,125,87,910,0.6966019417475728,0.767379679144385,20600,111519.63441715177,33805.60346443277,57114.030952719004
0.7000000000000002,367,270,97,104,938,0.7356948228882834,0.7219251336898396,18350,104913.94178617066,40411.29609541388,46152.64569075678
0.7500000000000002,328,250,78,124,957,0.7621951219512195,0.6684491978609626,16400,97142.53869089876,48182.69919068579,32559.83950021297
0.8000000000000002,272,217,55,157,980,0.7977941176470589,0.5802139037433155,13600,84319.72358370012,61005.51429788442,9714.209285815698
0.8500000000000002,209,184,25,190,1010,0.8803827751196173,0.4919786096256685,10450,71496.90847650148,73828.32940508306,-12781.420928581574
0.9000000000000002,161,153,8,221,1027,0.9503105590062112,0.4090909090909091,8050,59451.23367883004,85874.0042027545,-34472.77052392446
